vehicle,brand,model,category,sales,year,month,source
Ford Fusion Energi,Ford,Fusion Energi,phev,750,2013,9,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,51,2013,9,hybridcars.com
Honda Fit,Honda,Fit,bev,35,2013,9,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,20,2013,9,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1953,2013,9,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,137,2013,9,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1100,2013,9,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1152,2013,9,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,167,2013,9,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,87,2013,10,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2022,2013,10,hybridcars.com
Fiat 500e,Fiat,500e,bev,50,2013,10,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,1092,2013,10,hybridcars.com
Ford Focus,Ford,Focus,bev,115,2013,10,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,1087,2013,10,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,71,2013,10,hybridcars.com
Honda Fit,Honda,Fit,bev,40,2013,10,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,28,2013,10,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2002,2013,10,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,111,2013,10,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1300,2013,10,hybridcars.com
Toyota Prius,Toyota,Prius,phev,2095,2013,10,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,91,2013,10,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,87,2013,11,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,1920,2013,11,hybridcars.com
Fiat 500e,Fiat,500e,bev,60,2013,11,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,941,2013,11,hybridcars.com
Ford Focus,Ford,Focus,bev,130,2013,11,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,870,2013,11,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,68,2013,11,hybridcars.com
Honda Fit,Honda,Fit,bev,23,2013,11,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,12,2013,11,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2003,2013,11,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,4,2013,11,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,153,2013,11,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1400,2013,11,hybridcars.com
Toyota Prius,Toyota,Prius,phev,1100,2013,11,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,62,2013,11,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,6,2013,12,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,76,2013,12,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,2392,2013,12,hybridcars.com
Fiat 500e,Fiat,500e,bev,50,2013,12,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,827,2013,12,hybridcars.com
Ford Focus,Ford,Focus,bev,158,2013,12,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,791,2013,12,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,38,2013,12,hybridcars.com
Honda Fit,Honda,Fit,bev,51,2013,12,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,11,2013,12,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,2529,2013,12,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,47,2013,12,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,167,2013,12,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1700,2013,12,hybridcars.com
Toyota Prius,Toyota,Prius,phev,919,2013,12,hybridcars.com
Toyota RAV4,Toyota,RAV4,bev,28,2013,12,hybridcars.com
Cadillac ELR,Cadillac,ELR,phev,41,2014,1,hybridcars.com
Chevrolet Spark,Chevrolet,Spark,bev,93,2014,1,hybridcars.com
Chevrolet Volt,Chevrolet,Volt,phev,918,2014,1,hybridcars.com
Fiat 500e,Fiat,500e,bev,35,2014,1,hybridcars.com
Ford C-Max Energi,Ford,C-Max Energi,phev,471,2014,1,hybridcars.com
Ford Focus,Ford,Focus,bev,100,2014,1,hybridcars.com
Ford Fusion Energi,Ford,Fusion Energi,phev,533,2014,1,hybridcars.com
Honda Accord Plug In,Honda,Accord Plug In,phev,27,2014,1,hybridcars.com
Honda Fit,Honda,Fit,bev,30,2014,1,hybridcars.com
Mitsubishi i-Mi,Mitsubishi,i-Mi,bev,1,2014,1,hybridcars.com
Nissan Leaf,Nissan,Leaf,bev,1252,2014,1,hybridcars.com
Porsche Panamera S-E,Porsche,Panamera S-E,phev,141,2014,1,hybridcars.com
Smart Fortwo,Smart,Fortwo,bev,97,2014,1,hybridcars.com
Tesla Model S,Tesla,Model S,bev,1300,2014,1,hybridcars.com
Toyota Prius,Toyota,Prius,phev,803,2014,1,hybridcars.com
