year,month,cpi,date
1970,2,0.15096618357487923,1970-02-01
1970,3,0.15176074243579965,1970-03-01
1970,4,0.15295258072718027,1970-04-01
1970,5,0.1533498601576405,1970-05-01
1970,6,0.15414441901856088,1970-06-01
1970,7,0.15493897787948133,1970-07-01
1970,8,0.15493897787948133,1970-08-01
1970,9,0.15573353674040175,1970-09-01
1970,10,0.15652809560132214,1970-10-01
1970,11,0.15732265446224258,1970-11-01
1970,12,0.15811721332316298,1970-12-01
1971,1,0.15811721332316298,1971-01-01
1971,2,0.1585144927536232,1971-02-01
1971,3,0.1589117721840834,1971-03-01
1971,4,0.15930905161454362,1971-04-01
1971,5,0.160103610475464,1971-05-01
1971,6,0.16129544876684465,1971-06-01
1971,7,0.16169272819730487,1971-07-01
1971,8,0.16209000762776507,1971-08-01
1971,9,0.16209000762776507,1971-09-01
1971,10,0.16248728705822527,1971-10-01
1971,11,0.16248728705822527,1971-11-01
1971,12,0.1632818459191457,1971-12-01
1972,1,0.1632818459191457,1972-01-01
1972,2,0.1640764047800661,1972-02-01
1972,3,0.16447368421052633,1972-03-01
1972,4,0.16487096364098652,1972-04-01
1972,5,0.16526824307144675,1972-05-01
1972,6,0.16566552250190697,1972-06-01
1972,7,0.16646008136282736,1972-07-01
1972,8,0.16685736079328758,1972-08-01
1972,9,0.16725464022374778,1972-09-01
1972,10,0.1680491990846682,1972-10-01
1972,11,0.1684464785151284,1972-11-01
1972,12,0.16884375794558862,1972-12-01
1973,1,0.16924103737604884,1973-01-01
1973,2,0.17043287566742946,1973-02-01
1973,3,0.17202199338927027,1973-03-01
1973,4,0.1732138316806509,1973-04-01
1973,5,0.17440566997203152,1973-05-01
1973,6,0.17559750826341217,1973-06-01
1973,7,0.17599478769387236,1973-07-01
1973,8,0.17917302313755404,1973-08-01
1973,9,0.17957030256801426,1973-09-01
1973,10,0.1811594202898551,1973-10-01
1973,11,0.1823512585812357,1973-11-01
1973,12,0.18354309687261633,1973-12-01
1974,1,0.18513221459445717,1974-01-01
1974,2,0.18751589117721842,1974-02-01
1974,3,0.18989956775997965,1974-03-01
1974,4,0.19069412662090007,1974-04-01
1974,5,0.19307780320366133,1974-05-01
1974,6,0.19466692092550217,1974-06-01
1974,7,0.196256038647343,1974-07-01
1974,8,0.19863971523010426,1974-08-01
1974,9,0.20102339181286552,1974-09-01
1974,10,0.20300978896516655,1974-10-01
1974,11,0.2045989066870074,1974-11-01
1974,12,0.2061880244088482,1974-12-01
1975,1,0.20698258326976865,1975-01-01
1975,2,0.20857170099160946,1975-02-01
1975,3,0.2093662598525299,1975-03-01
1975,4,0.2101608187134503,1975-04-01
1975,5,0.21135265700483094,1975-05-01
1975,6,0.21294177472667178,1975-06-01
1975,7,0.21532545130943304,1975-07-01
1975,8,0.2157227307398932,1975-08-01
1975,9,0.21691456903127385,1975-09-01
1975,10,0.21810640732265446,1975-10-01
1975,11,0.2196955250444953,1975-11-01
1975,12,0.22049008390541572,1975-12-01
1976,1,0.22088736333587594,1976-01-01
1976,2,0.22168192219679633,1976-02-01
1976,3,0.22207920162725656,1976-03-01
1976,4,0.22287376048817698,1976-04-01
1976,5,0.2244628782100178,1976-05-01
1976,6,0.22565471650139843,1976-06-01
1976,7,0.22684655479277907,1976-07-01
1976,8,0.22803839308415969,1976-08-01
1976,9,0.2288329519450801,1976-09-01
